age,minutes_played,goals_per90,assists_per90,position,last_season,country_of_citizenship,market_value_in_eur,target_log,league_rank
40.0,10382.0,0.0693507994606048,0.0260065497977268,Midfield,2017,Netherlands,400000,12.899222326086994,4
40.0,6870.0,0.0131004366812227,0.0131004366812227,Defender,2015,Austria,350000,12.765691290604371,7
39.0,11622.0,0.2323180175529169,0.1626226122870418,Midfield,2017,Germany,250000,12.429220196836384,4
40.0,15864.0,0.1361573373676248,0.1304841149773071,Midfield,2022,Unknown,50000,10.819798284210286,14
38.0,397.0,0.2267002518891687,0.0,Attack,2014,Denmark,100000,11.51293546492023,10
39.0,23563.0,0.0381954759580698,0.0420150235538768,Defender,2020,Finland,300000,12.611541086966117,4
39.0,1440.0,0.0,0.0,Goalkeeper,2019,Germany,250000,12.429220196836384,4
34.0,20769.0,0.0303336703741152,0.0260002888920988,Midfield,2024,Greece,300000,12.611541086966117,9
40.0,6747.0,0.5335704757670076,0.1067140951534015,Attack,2017,Nigeria,175000,12.07254696717504,6
40.0,2133.0,0.379746835443038,0.1265822784810126,Attack,2012,Nigeria,100000,11.51293546492023,3
40.0,128.0,0.0,0.0,Defender,2012,Italy,200000,12.206077645517674,2
40.0,1872.0,0.0,0.0,Midfield,2014,Mali,300000,12.611541086966117,3
40.0,12965.0,0.583108368684921,0.1388353258773621,Attack,2018,Germany,800000,13.592368256649284,4
39.0,17410.0,0.0310166570936243,0.1395749569213095,Defender,2020,Austria,400000,12.899222326086994,1
40.0,4472.0,0.0805008944543828,0.3018783542039356,Midfield,2014,Switzerland,400000,12.899222326086994,4
40.0,16455.0,0.0546946216955332,0.0218778486782133,Defender,2017,Germany,1000000,13.815511557963774,1
40.0,1009.0,0.267591674925669,0.089197224975223,Midfield,2012,Ghana,25000,10.12667110305036,10
40.0,4890.0,0.460122699386503,0.4049079754601227,Attack,2014,Greece,100000,11.51293546492023,1
40.0,4135.0,0.0435308343409915,0.1523579201934704,Midfield,2013,Turkey,50000,10.819798284210286,8
40.0,16957.0,0.0212301704310904,0.0212301704310904,Midfield,2021,Italy,400000,12.899222326086994,2
33.0,20754.0,0.2862098872506505,0.3469210754553339,Midfield,2024,Germany,3000000,14.914123179965662,4
39.0,8905.0,0.1414935429533969,0.2122403144300954,Midfield,2022,Russia,50000,10.819798284210286,13
40.0,22743.0,0.0197863078749505,0.0831024930747922,Defender,2019,France,100000,11.51293546492023,8
40.0,14689.0,0.0551433045135815,0.0183811015045271,Defender,2017,Spain,475000,13.07107218827772,3
40.0,18857.0,0.4009121281221827,0.1288646126107016,Attack,2019,Cote d'Ivoire,150000,11.918397239722838,4
40.0,13695.0,0.0788608981380065,0.0262869660460021,Midfield,2018,Algeria,500000,13.122365377402328,8
39.0,2929.0,0.0307272106520996,0.0,Midfield,2018,Spain,50000,10.819798284210286,3
36.0,6683.0,0.0,0.0,Goalkeeper,2021,Spain,200000,12.206077645517674,3
38.0,557.0,0.0,0.1615798922800718,Attack,2012,Spain,150000,11.918397239722838,9
40.0,41150.0,0.9448359659781288,0.2493317132442284,Attack,2022,Portugal,15000000,16.52356082573315,1
40.0,0.0,0.0,0.0,Midfield,2012,South Africa,250000,12.429220196836384,14
40.0,1110.0,0.0,0.0,Goalkeeper,2023,Germany,300000,12.611541086966117,4
39.0,8878.0,0.0101374183374633,0.0304122550123901,Defender,2015,Denmark,125000,11.736077016252436,10
38.0,2829.0,0.1272534464475079,0.2863202545068929,Midfield,2013,Spain,50000,10.819798284210286,12
38.0,7410.0,0.1578947368421052,0.194331983805668,Attack,2019,Turkey,25000,10.12667110305036,8
39.0,13185.0,0.2252559726962457,0.2252559726962457,Attack,2018,Turkey,100000,11.51293546492023,8
40.0,3300.0,0.0818181818181818,0.0818181818181818,Defender,2017,Turkey,250000,12.429220196836384,8
40.0,2510.0,0.0358565737051792,0.1792828685258964,Midfield,2012,Germany,25000,10.12667110305036,4
39.0,1234.0,0.3646677471636953,0.2917341977309562,Midfield,2014,Turkey,1000000,13.815511557963774,8
38.0,23223.0,0.1898979460018085,0.3410412091461051,Midfield,2021,Spain,1000000,13.815511557963774,5
35.0,10017.0,0.3144654088050314,0.0988319856244384,Attack,2022,Portugal,300000,12.611541086966117,7
40.0,5897.0,0.0457859928777344,0.0,Defender,2018,Germany,200000,12.206077645517674,11
40.0,4135.0,0.4570737605804111,0.2394195888754534,Midfield,2017,Bosnia-Herzegovina,50000,10.819798284210286,4
36.0,3660.0,0.0,0.0,Defender,2017,Nigeria,200000,12.206077645517674,13
38.0,5997.0,0.3601800900450225,0.1650825412706353,Attack,2020,Portugal,100000,11.51293546492023,7
40.0,11590.0,0.0,0.0077653149266609,Goalkeeper,2023,Scotland,50000,10.819798284210286,11
40.0,189.0,0.0,0.4761904761904761,Midfield,2019,Scotland,400000,12.899222326086994,11
40.0,0.0,0.0,0.0,Midfield,2013,Russia,300000,12.611541086966117,13
39.0,15877.0,0.0793600806197644,0.017005731561378,Defender,2019,Belgium,4000000,15.201805169084134,14
40.0,290.0,0.3103448275862069,0.0,Attack,2014,Netherlands,150000,11.918397239722838,14
40.0,6591.0,0.0136549840691852,0.0273099681383705,Defender,2015,Scotland,1000000,13.815511557963774,1
40.0,9780.0,0.0460122699386503,0.0920245398773006,Midfield,2017,Greece,100000,11.51293546492023,9
40.0,1791.0,0.2512562814070352,0.4522613065326633,Midfield,2013,Ukraine,800000,13.592368256649284,13
40.0,1259.0,0.0714853057982525,0.3574265289912629,Attack,2020,Ukraine,100000,11.51293546492023,12
39.0,3114.0,0.0,0.0289017341040462,Defender,2013,Switzerland,100000,11.51293546492023,2
39.0,3018.0,0.0,0.0298210735586481,Midfield,2018,Switzerland,200000,12.206077645517674,13
38.0,2245.0,0.0801781737193764,0.0,Midfield,2015,Switzerland,750000,13.527829818844936,1
39.0,13470.0,0.2071269487750557,0.1002227171492205,Midfield,2019,Switzerland,100000,11.51293546492023,2
40.0,52.0,0.0,0.0,Midfield,2012,England,125000,11.736077016252436,1
39.0,4285.0,0.0210035005834305,0.0,Midfield,2014,England,325000,12.691583538230216,11
39.0,2144.0,0.0,0.0419776119402985,Defender,2017,Turkey,50000,10.819798284210286,8
37.0,272.0,0.0,0.0,Midfield,2015,Wales,75000,11.225256725762891,1
38.0,28865.0,0.0904209249956694,0.040533518101507,Midfield,2021,Brazil,500000,13.122365377402328,8
39.0,4553.0,0.0790687458818361,0.0593015594113771,Defender,2019,Germany,200000,12.206077645517674,4
39.0,1974.0,0.0,0.0455927051671732,Midfield,2014,Turkey,25000,10.12667110305036,8
40.0,3937.0,0.1143002286004571,0.16002032004064,Attack,2017,Slovakia,150000,11.918397239722838,4
40.0,0.0,0.0,0.0,Goalkeeper,2019,Germany,250000,12.429220196836384,4
34.0,10216.0,0.0616679718089271,0.0352388410336726,Defender,2020,Argentina,1000000,13.815511557963774,3
34.0,18450.0,0.0,0.0634146341463414,Defender,2024,France,400000,12.899222326086994,8
37.0,570.0,0.0,0.0,Goalkeeper,2016,Ghana,300000,12.611541086966117,10
39.0,5791.0,0.1554135727853565,0.0310827145570713,Defender,2016,Germany,125000,11.736077016252436,4
40.0,6879.0,0.1831661578717836,0.1569995638901003,Midfield,2014,Poland,700000,13.45883704259595,8
37.0,23693.0,0.1481450217363778,0.2127210568522348,Midfield,2019,Argentina,1800000,14.403297778421797,3
35.0,41092.0,0.0503747688114474,0.0635160128492163,Defender,2024,Netherlands,2000000,14.508658238524095,3
40.0,4680.0,0.0,0.0192307692307692,Goalkeeper,2024,Finland,50000,10.819798284210286,9
39.0,7844.0,0.0458949515553289,0.0344212136664966,Midfield,2019,Norway,500000,13.122365377402328,1
40.0,1411.0,0.0,0.1913536498936924,Midfield,2012,Brazil,275000,12.524530013005734,13
40.0,1647.0,0.4918032786885246,0.2185792349726776,Attack,2015,Scotland,225000,12.323860125621126,11
40.0,6876.0,0.0785340314136125,0.0,Defender,2016,Scotland,300000,12.611541086966117,11
40.0,32948.0,0.0655578487313342,0.0901420420055845,Midfield,2021,Scotland,600000,13.304686600863562,11
40.0,4800.0,0.0,0.0562499999999999,Midfield,2015,Scotland,375000,12.83468397161566,11
39.0,3480.0,0.0,0.0,Goalkeeper,2018,Scotland,50000,10.819798284210286,11
39.0,6600.0,0.0954545454545454,0.0818181818181818,Defender,2015,Scotland,250000,12.429220196836384,11
39.0,11326.0,0.3416916828536111,0.1748190005297545,Attack,2019,Scotland,450000,13.017005083966255,11
40.0,12702.0,0.007085498346717,0.0637694851204534,Defender,2019,Scotland,150000,11.918397239722838,11
38.0,4877.0,0.0553619028091039,0.0553619028091039,Defender,2016,Greece,350000,12.765691290604371,9
38.0,10610.0,0.0,0.0,Goalkeeper,2024,Greece,75000,11.225256725762891,9
40.0,10615.0,0.0423928403203014,0.0339142722562411,Midfield,2016,Greece,475000,13.07107218827772,9
31.0,16308.0,0.0,0.0,Goalkeeper,2023,Italy,1500000,14.220976332738882,2
39.0,9623.0,0.1028785202119921,0.2057570404239842,Attack,2017,Belgium,300000,12.611541086966117,14
39.0,17041.0,0.0211255208027697,0.0158441406020773,Midfield,2018,Belgium,200000,12.206077645517674,14
40.0,5206.0,0.0691509796388782,0.0172877449097195,Defender,2021,Greece,200000,12.206077645517674,9
32.0,0.0,0.0,0.0,Defender,2013,Greece,125000,11.736077016252436,9
39.0,7103.0,0.0,0.0,Goalkeeper,2017,Belgium,350000,12.765691290604371,14
40.0,1299.0,0.0,0.0,Defender,2013,Belgium,250000,12.429220196836384,6
40.0,3480.0,0.0,0.1293103448275862,Defender,2013,Belgium,300000,12.611541086966117,14
39.0,4605.0,0.3908794788273615,0.0390879478827361,Attack,2017,Belgium,100000,11.51293546492023,14
39.0,5620.0,0.0160142348754448,0.0320284697508896,Defender,2018,Portugal,150000,11.918397239722838,7
38.0,14665.0,0.0429594272076372,0.0368223661779747,Midfield,2020,Finland,150000,11.918397239722838,9
38.0,4230.0,0.0,0.0,Goalkeeper,2019,Belgium,250000,12.429220196836384,14
40.0,2257.0,0.0,0.1993797075764288,Midfield,2014,Belgium,250000,12.429220196836384,14
40.0,1459.0,0.1850582590815627,0.1233721727210418,Attack,2012,Northern Ireland,275000,12.524530013005734,11
40.0,2080.0,0.0432692307692307,0.0,Defender,2013,Belgium,350000,12.765691290604371,14
38.0,10053.0,0.0358102059086839,0.1432408236347359,Midfield,2016,England,250000,12.429220196836384,1
38.0,169.0,0.0,0.0,Midfield,2015,Northern Ireland,250000,12.429220196836384,11
37.0,6547.0,0.3299221017259814,0.3849091186803116,Midfield,2016,England,300000,12.611541086966117,11
40.0,6493.0,0.0,0.0,Goalkeeper,2018,Belgium,50000,10.819798284210286,14
40.0,18182.0,0.1138488615113848,0.1781982180178198,Defender,2019,England,1600000,14.285514812209817,1
40.0,11434.0,0.0,0.0708413503585796,Defender,2019,England,800000,13.592368256649284,1
40.0,80.0,0.0,0.0,Attack,2014,Germany,125000,11.736077016252436,4
40.0,0.0,0.0,0.0,Missing,2012,Belgium,150000,11.918397239722838,14
39.0,1043.0,0.2588686481303931,0.0862895493767977,Midfield,2016,England,1600000,14.285514812209817,1
39.0,2910.0,0.1855670103092783,0.1855670103092783,Attack,2016,Iran,75000,11.225256725762891,4
39.0,677.0,0.7976366322008863,0.0,Attack,2013,England,250000,12.429220196836384,1
40.0,12767.0,0.1480379102373306,0.1268896373462834,Attack,2017,England,250000,12.429220196836384,1
40.0,4595.0,0.0587595212187159,0.0979325353645266,Midfield,2017,England,250000,12.429220196836384,1
40.0,26599.0,0.0609045452836572,0.1488777773600511,Defender,2024,England,500000,13.122365377402328,1
35.0,1428.0,0.1890756302521008,0.315126050420168,Attack,2013,Scotland,150000,11.918397239722838,11
38.0,8604.0,0.0104602510460251,0.0,Defender,2017,Portugal,25000,10.12667110305036,7
38.0,18931.0,0.0760657123237018,0.1473773176271723,Attack,2021,England,600000,13.304686600863562,1
40.0,2330.0,0.0772532188841201,0.0,Defender,2013,Cameroon,350000,12.765691290604371,9
38.0,12932.0,0.0208784410763996,0.1600680482523971,Midfield,2018,Switzerland,800000,13.592368256649284,4
39.0,2239.0,0.0401965163019205,0.241179097811523,Attack,2016,Ghana,800000,13.592368256649284,6
38.0,629.0,0.0,0.1430842607313195,Attack,2012,England,500000,13.122365377402328,9
40.0,3062.0,0.0,0.0,Goalkeeper,2024,England,200000,12.206077645517674,1
40.0,3110.0,0.1446945337620578,0.2604501607717042,Attack,2014,Scotland,250000,12.429220196836384,11
40.0,1423.0,0.1897399859451862,0.1264933239634574,Midfield,2020,Scotland,350000,12.765691290604371,11
36.0,2317.0,0.3884333189469141,0.0776866637893828,Attack,2021,Ireland,150000,11.918397239722838,11
40.0,352.0,0.0,1.0227272727272727,Attack,2012,Scotland,100000,11.51293546492023,11
40.0,1004.0,0.0,0.0,Midfield,2013,Germany,500000,13.122365377402328,4
35.0,3330.0,0.0,0.0,Goalkeeper,2023,Brazil,350000,12.765691290604371,7
40.0,2656.0,0.0,0.0,Defender,2018,Germany,100000,11.51293546492023,4
40.0,6192.0,0.1308139534883721,0.0872093023255814,Midfield,2018,Denmark,300000,12.611541086966117,10
40.0,982.0,0.0,0.0,Defender,2014,Belarus,1400000,14.151983508870948,8
40.0,1801.0,0.0499722376457523,0.149916712937257,Midfield,2017,Russia,100000,11.51293546492023,13
39.0,941.0,0.1912858660998937,0.0,Midfield,2014,Russia,150000,11.918397239722838,13
40.0,109.0,0.8256880733944955,0.0,Attack,2012,Scotland,300000,12.611541086966117,11
40.0,853.0,0.0,0.0,Goalkeeper,2013,Ireland,200000,12.206077645517674,1
40.0,270.0,0.0,0.3333333333333333,Defender,2012,England,225000,12.323860125621126,11
40.0,12757.0,0.4232970134044054,0.2821980089362703,Midfield,2020,Germany,250000,12.429220196836384,8
39.0,2011.0,0.0447538538040775,0.0,Defender,2013,Egypt,150000,11.918397239722838,14
40.0,39494.0,0.0250670987998176,0.0227882716361979,Defender,2024,Spain,1300000,14.077875591662238,3
40.0,2897.0,0.0621332412840869,0.2485329651363479,Attack,2014,Spain,50000,10.819798284210286,9
37.0,17390.0,0.2277170787809085,0.139735480161012,Attack,2021,Portugal,200000,12.206077645517674,9
39.0,41340.0,0.0,0.0065312046444121,Goalkeeper,2024,Russia,1000000,13.815511557963774,13
40.0,5842.0,0.3081136597055803,0.092434097911674,Attack,2016,Russia,50000,10.819798284210286,13
40.0,5575.0,0.0807174887892376,0.1291479820627802,Midfield,2016,Russia,100000,11.51293546492023,13
40.0,9686.0,0.0278752839149287,0.111501135659715,Midfield,2019,Russia,50000,10.819798284210286,13
39.0,5651.0,0.1911166165280481,0.1592638471067067,Midfield,2019,Netherlands,475000,13.07107218827772,6
39.0,1251.0,0.2877697841726618,0.0719424460431654,Attack,2014,Netherlands,300000,12.611541086966117,10
40.0,13757.0,0.0196263720287853,0.0327106200479755,Defender,2021,Scotland,75000,11.225256725762891,1
39.0,4874.0,0.0553959786622897,0.0184653262207632,Defender,2015,Spain,200000,12.206077645517674,9
40.0,20564.0,0.2232056020229527,0.2888543085002917,Midfield,2019,Spain,500000,13.122365377402328,3
40.0,180.0,0.0,0.0,Defender,2015,England,250000,12.429220196836384,1
38.0,3095.0,0.1744749596122778,0.2617124394184168,Attack,2018,Belgium,250000,12.429220196836384,14
37.0,4249.0,0.0635443633796187,0.1482701812191104,Defender,2019,Belgium,100000,11.51293546492023,14
40.0,2737.0,0.3617099013518451,0.1315308732188527,Attack,2013,Bulgaria,50000,10.819798284210286,14
40.0,1335.0,0.0,0.0674157303370786,Midfield,2013,Hungary,325000,12.691583538230216,2
39.0,8401.0,0.01071301035591,0.02142602071182,Defender,2018,Belgium,700000,13.45883704259595,3
39.0,6681.0,0.0673551863493489,0.1077682981589582,Attack,2015,England,300000,12.611541086966117,1
40.0,1974.0,0.0911854103343465,0.0,Attack,2012,Scotland,800000,13.592368256649284,1
39.0,435.0,0.0,0.0,Goalkeeper,2021,England,75000,11.225256725762891,1
39.0,36199.0,0.0223763087378104,0.2038730351667173,Defender,2023,Spain,2500000,14.731801689838347,3
37.0,6548.0,0.1237018937080024,0.1099572388515577,Midfield,2014,Iceland,250000,12.429220196836384,10
40.0,23327.0,0.0,0.0,Goalkeeper,2022,Turkey,25000,10.12667110305036,8
39.0,877.0,0.3078677309007982,0.3078677309007982,Attack,2014,Italy,50000,10.819798284210286,2
38.0,21211.0,0.3224741879213615,0.1909386639008062,Attack,2021,Netherlands,150000,11.918397239722838,8
37.0,4426.0,0.0,0.0,Defender,2016,France,100000,11.51293546492023,9
33.0,34143.0,0.1186187505491608,0.0948950004393287,Midfield,2024,Brazil,12000000,16.300417291085605,1
38.0,4949.0,0.5091937765205092,0.1272984441301273,Attack,2019,Germany,300000,12.611541086966117,4
40.0,5758.0,0.0156304272316776,0.0312608544633553,Defender,2014,Spain,250000,12.429220196836384,4
40.0,7820.0,0.0230179028132992,0.0345268542199488,Midfield,2019,Brazil,125000,11.736077016252436,8
40.0,21074.0,0.0597893138464458,0.0640599791211919,Midfield,2019,Greece,100000,11.51293546492023,9
40.0,16368.0,0.0,0.0,Goalkeeper,2021,Greece,500000,13.122365377402328,5
34.0,187.0,0.0,0.0,Attack,2015,Greece,125000,11.736077016252436,9
38.0,1089.0,0.0826446280991735,0.4958677685950413,Midfield,2016,Germany,100000,11.51293546492023,4
40.0,11444.0,0.0865082139112198,0.0629150646627053,Defender,2019,Germany,400000,12.899222326086994,4
39.0,6337.0,0.326652990373994,0.0852138235758245,Attack,2017,Greece,200000,12.206077645517674,9
40.0,8663.0,0.0727230751471776,0.1558351610296663,Midfield,2016,France,1000000,13.815511557963774,5
40.0,5896.0,0.0305291723202171,0.0,Defender,2014,Spain,2000000,14.508658238524095,3
40.0,7077.0,0.1271725307333615,0.0381517592200084,Midfield,2015,Greece,75000,11.225256725762891,9
40.0,10451.0,0.0775045450196153,0.0602813127930341,Midfield,2022,Belgium,100000,11.51293546492023,14
39.0,5885.0,0.0611724723874256,0.1529311809685641,Attack,2014,Germany,4000000,15.201805169084134,4
40.0,0.0,0.0,0.0,Defender,2015,Germany,250000,12.429220196836384,4
38.0,14846.0,0.0181867169607975,0.0909335848039876,Defender,2018,Italy,400000,12.899222326086994,2
40.0,20873.0,0.0172471614046854,0.1121065491304556,Defender,2018,Spain,1000000,13.815511557963774,3
40.0,10711.0,0.3697133787694893,0.2604798804966857,Attack,2019,Peru,200000,12.206077645517674,13
39.0,0.0,0.0,0.0,Defender,2016,England,400000,12.899222326086994,1
40.0,4619.0,0.1753626326044598,0.1948473695605109,Midfield,2016,Russia,175000,12.07254696717504,13
38.0,1682.0,0.0535077288941736,0.0535077288941736,Midfield,2012,England,100000,11.51293546492023,1
39.0,969.0,0.0,0.0928792569659442,Defender,2016,Germany,250000,12.429220196836384,4
39.0,18871.0,0.090615229717556,0.1383074558846908,Midfield,2024,Russia,100000,11.51293546492023,13
39.0,16638.0,0.2488279841327082,0.275874504147133,Midfield,2021,Portugal,75000,11.225256725762891,9
38.0,3035.0,0.029654036243822,0.0593080724876441,Defender,2019,Germany,225000,12.323860125621126,4
39.0,3417.0,0.3687445127304653,0.131694468832309,Attack,2015,Romania,700000,13.45883704259595,8
39.0,1530.0,0.0,0.0,Goalkeeper,2012,Germany,125000,11.736077016252436,4
38.0,37193.0,0.0,0.0,Goalkeeper,2024,Denmark,750000,13.527829818844936,11
38.0,16590.0,0.2061482820976491,0.1356238698010849,Midfield,2022,Ghana,700000,13.45883704259595,4
38.0,4294.0,0.2515137401024686,0.3772706101537028,Midfield,2013,Poland,200000,12.206077645517674,8
40.0,1013.0,0.0,0.0888450148075024,Attack,2014,Poland,150000,11.918397239722838,4
38.0,1780.0,0.0505617977528089,0.1011235955056179,Defender,2014,Canada,175000,12.07254696717504,4
37.0,145.0,0.0,0.0,Defender,2014,Netherlands,75000,11.225256725762891,10
38.0,8147.0,0.3535043574321836,0.1988462010556032,Attack,2017,France,400000,12.899222326086994,8
39.0,6225.0,0.0289156626506024,0.0144578313253012,Defender,2016,Cameroon,250000,12.429220196836384,4
39.0,1243.0,0.0724054706355591,0.2896218825422365,Midfield,2017,Austria,175000,12.07254696717504,6
40.0,16047.0,0.0504767246214245,0.089736399326977,Defender,2020,Serbia,100000,11.51293546492023,8
40.0,3315.0,0.0,0.0271493212669683,Defender,2013,Greece,100000,11.51293546492023,9
40.0,792.0,0.0,0.3409090909090909,Midfield,2012,Greece,200000,12.206077645517674,9
40.0,1783.0,0.0,0.0,Midfield,2013,Greece,500000,13.122365377402328,12
39.0,45140.0,0.0,0.0039875941515285,Goalkeeper,2024,Germany,4000000,15.201805169084134,4
39.0,5007.0,0.0359496704613541,0.0,Defender,2015,England,300000,12.611541086966117,1
38.0,10999.0,0.0163651241021911,0.0081825620510955,Defender,2019,Netherlands,200000,12.206077645517674,6
40.0,5216.0,0.0345092024539877,0.0690184049079754,Midfield,2015,Netherlands,450000,13.017005083966255,6
40.0,13542.0,0.0930438635356668,0.1129818342933097,Midfield,2022,Turkey,75000,11.225256725762891,8
40.0,7460.0,0.0120643431635388,0.0603217158176943,Defender,2015,Spain,700000,13.45883704259595,3
40.0,3939.0,0.3427265803503427,0.0228484386900228,Attack,2015,Germany,125000,11.736077016252436,4
39.0,90.0,0.0,0.0,Goalkeeper,2013,Turkey,100000,11.51293546492023,8
40.0,4496.0,0.0400355871886121,0.0400355871886121,Defender,2016,Algeria,300000,12.611541086966117,2
38.0,7127.0,0.0252560684720078,0.0631401711800196,Defender,2019,Belgium,100000,11.51293546492023,14
37.0,5020.0,0.2330677290836653,0.2689243027888446,Attack,2013,Argentina,75000,11.225256725762891,8
38.0,39408.0,0.0,0.0,Goalkeeper,2023,France,1200000,13.997832948091215,1
40.0,624.0,0.0,0.1442307692307692,Defender,2014,France,100000,11.51293546492023,9
40.0,2579.0,0.0348972469949592,0.0348972469949592,Defender,2020,Czech Republic,125000,11.736077016252436,6
38.0,0.0,0.0,0.0,Goalkeeper,2012,Finland,75000,11.225256725762891,11
40.0,8127.0,0.0553709856035437,0.0332225913621262,Defender,2016,England,100000,11.51293546492023,1
39.0,506.0,0.3557312252964427,0.1778656126482213,Attack,2015,Germany,100000,11.51293546492023,4
40.0,180.0,0.0,0.5,Defender,2013,Germany,225000,12.323860125621126,4
40.0,1606.0,0.0,0.0,Goalkeeper,2016,Slovakia,10000,9.210440366976515,9
39.0,799.0,0.0,0.0,Midfield,2013,Germany,200000,12.206077645517674,4
39.0,7655.0,0.1998693664271718,0.1528412802090137,Attack,2018,Germany,100000,11.51293546492023,9
38.0,270.0,0.0,0.0,Defender,2014,Belgium,150000,11.918397239722838,11
39.0,2138.0,0.3367633302151543,0.0420954162768942,Attack,2014,Belgium,125000,11.736077016252436,14
39.0,2558.0,0.0351837372947615,0.1055512118842846,Defender,2014,DR Congo,200000,12.206077645517674,14
39.0,909.0,0.099009900990099,0.0,Defender,2019,Germany,250000,12.429220196836384,4
40.0,20270.0,0.4750863344844598,0.182042427232363,Attack,2023,Spain,300000,12.611541086966117,3
40.0,3132.0,0.028735632183908,0.028735632183908,Defender,2018,Spain,225000,12.323860125621126,10
38.0,167.0,0.0,0.0,Goalkeeper,2012,Martinique,400000,12.899222326086994,5
39.0,19715.0,0.0319553639360892,0.0776058838447882,Defender,2019,Ghana,150000,11.918397239722838,14
40.0,1693.0,0.0,0.0531600708800945,Defender,2012,Sweden,200000,12.206077645517674,14
40.0,1636.0,0.1100244498777506,0.0550122249388753,Attack,2014,Serbia,400000,12.899222326086994,8
40.0,375.0,0.0,0.0,Defender,2015,Germany,50000,10.819798284210286,8
40.0,1884.0,0.0477707006369426,0.0955414012738853,Defender,2013,Germany,300000,12.611541086966117,4
39.0,4396.0,0.2047315741583257,0.1228389444949954,Attack,2013,Cote d'Ivoire,350000,12.765691290604371,12
40.0,132.0,0.0,0.0,Defender,2012,Senegal,300000,12.611541086966117,5
38.0,11882.0,0.2726813667732705,0.181787577848847,Midfield,2021,France,200000,12.206077645517674,5
40.0,19402.0,0.2922379136171528,0.1669930934955159,Attack,2021,France,600000,13.304686600863562,5
39.0,7336.0,0.2085605234460196,0.2576335877862595,Midfield,2018,France,2000000,14.508658238524095,5
38.0,16723.0,0.0107636189678885,0.0645817138073312,Midfield,2019,Norway,150000,11.918397239722838,4
37.0,35515.0,0.651274109531184,0.3091651414895115,Attack,2022,France,15000000,16.52356082573315,3
39.0,3795.0,0.0948616600790513,0.0237154150197628,Midfield,2015,Greece,100000,11.51293546492023,9
39.0,3556.0,0.1012373453318335,0.1265466816647918,Midfield,2016,Greece,250000,12.429220196836384,9
38.0,20774.0,0.1126408010012515,0.1343024935014922,Midfield,2022,France,300000,12.611541086966117,5
38.0,12066.0,0.1939333664843361,0.2759820984584784,Midfield,2019,France,1600000,14.285514812209817,14
38.0,12660.0,0.0,0.0071090047393364,Goalkeeper,2023,France,250000,12.429220196836384,5
38.0,36953.0,0.0974210483587259,0.0146131572538088,Defender,2022,Spain,3000000,14.914123179965662,3
38.0,2558.0,0.0,0.0,Defender,2016,France,225000,12.323860125621126,9
40.0,14615.0,0.0615805679096818,0.1293191926103318,Midfield,2019,France,400000,12.899222326086994,5
39.0,2675.0,0.2355140186915887,0.0672897196261682,Attack,2017,Brazil,200000,12.206077645517674,9
39.0,3443.0,0.0784199825733372,0.0784199825733372,Defender,2018,Brazil,50000,10.819798284210286,7
